Date,"Python"
2016-06-19,308
2016-06-20,441
2016-06-21,458
2016-06-22,600
2016-06-23,540
2016-06-24,368
2016-06-25,299
2016-06-26,278
2016-06-27,361
2016-06-28,402
2016-06-29,447
2016-06-30,465
2016-07-01,342
2016-07-02,297
2016-07-03,298
2016-07-04,346
2016-07-05,456
2016-07-06,434
2016-07-07,397
2016-07-08,378
2016-07-09,340
2016-07-10,339
2016-07-11,396
2016-07-12,415
2016-07-13,375
2016-07-14,361
2016-07-15,340
2016-07-16,256
2016-07-17,260
2016-07-18,355
2016-07-19,363
2016-07-20,348
2016-07-21,360
2016-07-22,347
2016-07-23,283
2016-07-24,282
2016-07-25,370
2016-07-26,361
2016-07-27,402
2016-07-28,422
2016-07-29,356
2016-07-30,205
2016-07-31,254
2016-08-01,340
2016-08-02,374
2016-08-03,350
2016-08-04,350
2016-08-05,342
2016-08-06,227
2016-08-07,243
2016-08-08,334
2016-08-09,328
2016-08-10,355
2016-08-11,359
2016-08-12,398
2016-08-13,223
2016-08-14,270
2016-08-15,359
2016-08-16,477
2016-08-17,398
2016-08-18,339
2016-08-19,333
2016-08-20,281
2016-08-21,246
2016-08-22,410
2016-08-23,418
2016-08-24,434
2016-08-25,358
2016-08-26,401
2016-08-27,323
2016-08-28,319
2016-08-29,381
2016-08-30,451
2016-08-31,444
2016-09-01,441
2016-09-02,426
2016-09-03,241
2016-09-04,275
2016-09-05,433
2016-09-06,468
2016-09-07,463
2016-09-08,479
2016-09-09,380
2016-09-10,275
2016-09-11,263
2016-09-12,409
2016-09-13,440
2016-09-14,459
2016-09-15,512
2016-09-16,453
2016-09-17,357
2016-09-18,391
2016-09-19,441
2016-09-20,488
2016-09-21,468
2016-09-22,534
2016-09-23,480
2016-09-24,353
2016-09-25,329
2016-09-26,554
2016-09-27,489
2016-09-28,478
2016-09-29,417
2016-09-30,374
2016-10-01,260
2016-10-02,377
2016-10-03,391
2016-10-04,539
2016-10-05,665
2016-10-06,1184
2016-10-07,523
2016-10-08,395
2016-10-09,467
2016-10-10,534
2016-10-11,555
2016-10-12,496
2016-10-13,458
2016-10-14,406
2016-10-15,347
2016-10-16,342
2016-10-17,468
2016-10-18,487
2016-10-19,479
2016-10-20,400
2016-10-21,482
2016-10-22,346
2016-10-23,275
2016-10-24,398
2016-10-25,425
2016-10-26,390
2016-10-27,386
2016-10-28,359
2016-10-29,269
2016-10-30,309
2016-10-31,434
2016-11-01,423
2016-11-02,498
2016-11-03,466
2016-11-04,455
2016-11-05,299
2016-11-06,332
2016-11-07,437
2016-11-08,504
2016-11-09,361
2016-11-10,455
2016-11-11,457
2016-11-12,304
2016-11-13,397
2016-11-14,472
2016-11-15,471
2016-11-16,463
2016-11-17,488
2016-11-18,442
2016-11-19,383
2016-11-20,375
2016-11-21,435
2016-11-22,411
2016-11-23,432
2016-11-24,373
2016-11-25,354
2016-11-26,313
2016-11-27,313
2016-11-28,425
2016-11-29,465
2016-11-30,466
2016-12-01,432
2016-12-02,446
2016-12-03,348
2016-12-04,370
2016-12-05,459
2016-12-06,440
2016-12-07,480
2016-12-08,458
2016-12-09,453
2016-12-10,412
2016-12-11,427
2016-12-12,524
2016-12-13,656
2016-12-14,635
2016-12-15,507
2016-12-16,465
2016-12-17,328
2016-12-18,387
2016-12-19,543
2016-12-20,434
2016-12-21,414
2016-12-22,410
2016-12-23,332
2016-12-24,341
2016-12-25,266
2016-12-26,338
2016-12-27,372
2016-12-28,486
2016-12-29,451
2016-12-30,449
2016-12-31,278
2017-01-01,313
2017-01-02,370
2017-01-03,529
2017-01-04,538
2017-01-05,534
2017-01-06,512
2017-01-07,348
2017-01-08,477
2017-01-09,630
2017-01-10,519
2017-01-11,471
2017-01-12,485
2017-01-13,457
2017-01-14,366
2017-01-15,354
2017-01-16,733
2017-01-17,604
2017-01-18,569
2017-01-19,571
2017-01-20,479
2017-01-21,322
